x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24555,3005,0.42,0,0.0,-22823.837370000012,-22823.837370000012
24255,24555,3015,0.41,0,0.0,-24594.698385000018,-47418.53575500003
24255,24555,3025,0.41,0,0.0,-24594.698385000018,-72013.23414000004
24255,24555,3035,0.41,0,0.0,-24594.698385000018,-96607.93252500007
24255,24555,3045,0.42,0,0.0,-22823.837370000012,-119431.76989500008
24255,24555,3055,0.42,0,1.0,-20378.426223214294,-139810.19611821437
24255,24555,3065,0.42,0,1.0,-20378.426223214294,-160188.62234142865
24255,24555,3075,0.46,0,1.0,-14053.922598214287,-174242.54493964295
24255,24555,3085,0.46,0,1.0,-14053.922598214287,-188296.46753785724
24255,24555,3095,0.45,0,1.0,-15635.048504464286,-203931.51604232154
24255,24555,3105,0.45,0,1.0,-15635.048504464286,-219566.56454678584
24255,24555,3115,0.53,0,1.0,-2986.0412544642904,-222552.60580125015
24255,24555,3125,0.52,0,1.0,-4567.167160714287,-227119.77296196442
24255,24555,3135,0.51,0,2.0,-5489.547381218111,-232609.32034318254
24255,24555,3145,0.5,0,2.0,-6901.266940369894,-239510.58728355242
24255,24555,3155,0.51,0,2.0,-5489.547381218111,-245000.13466477054
24255,24555,3165,0.51,0,2.0,-5489.547381218111,-250489.68204598865
24255,24555,3175,0.51,0,2.0,-5489.547381218111,-255979.22942720677
24255,24555,3185,0.5,0,2.0,-6901.266940369894,-262880.49636757665
24255,24555,3195,0.53,0,2.0,-2666.108262914545,-265546.6046304912
24255,24555,3205,0.53,0,2.0,-2666.108262914545,-268212.7128934057
24255,24555,3215,0.53,0,2.0,-2666.108262914545,-270878.8211563202
24255,24555,3225,0.53,0,2.0,-2666.108262914545,-273544.92941923474
24255,24555,3235,0.53,0,2.0,-2666.108262914545,-276211.03768214927
24255,24555,3245,0.53,0,2.0,-2666.108262914545,-278877.1459450638
24255,24555,3255,0.53,0,2.0,-2666.108262914545,-281543.2542079783
24255,24555,3265,0.54,0,2.0,-1254.388703762762,-282797.6429117411
24255,24555,3275,0.54,0,3.0,-1119.9899140738944,-283917.632825815
24255,24555,3285,0.53,0,3.0,-2380.4538061737007,-286298.0866319887
24255,24555,3295,0.53,0,3.0,-2380.4538061737007,-288678.5404381624
24255,24565,3005,0.45,0,0.0,-17511.254325,-17511.254325
24255,24565,3015,0.45,0,0.0,-17511.254325,-35022.50865
24255,24565,3025,0.45,0,0.0,-17511.254325,-52533.762975000005
24255,24565,3035,0.45,0,0.0,-17511.254325,-70045.0173
24255,24565,3045,0.45,0,0.0,-17511.254325,-87556.27162500001
24255,24565,3055,0.46,0,1.0,-14053.922598214287,-101610.19422321429
24255,24565,3065,0.46,0,1.0,-14053.922598214287,-115664.11682142857
24255,24565,3075,0.47,0,1.0,-12472.7966919643,-128136.91351339288
24255,24565,3085,0.47,0,1.0,-12472.7966919643,-140609.71020535717
24255,24565,3095,0.46,0,1.0,-14053.922598214287,-154663.63280357147
24255,24565,3105,0.49,0,1.0,-9310.544879464296,-163974.17768303576
24255,24565,3115,0.53,0,1.0,-2986.0412544642904,-166960.21893750006
24255,24565,3125,0.52,0,1.0,-4567.167160714287,-171527.38609821434
24255,24565,3135,0.51,0,2.0,-5489.547381218111,-177016.93347943245
24255,24565,3145,0.5,0,2.0,-6901.266940369894,-183918.20041980234
24255,24565,3155,0.51,0,2.0,-5489.547381218111,-189407.74780102045
24255,24565,3165,0.51,0,2.0,-5489.547381218111,-194897.29518223857
24255,24565,3175,0.51,0,2.0,-5489.547381218111,-200386.84256345668
24255,24565,3185,0.5,0,2.0,-6901.266940369894,-207288.10950382656
24255,24565,3195,0.52,0,2.0,-4077.827822066328,-211365.93732589288
24255,24565,3205,0.53,0,2.0,-2666.108262914545,-214032.04558880744
24255,24565,3215,0.53,0,2.0,-2666.108262914545,-216698.153851722
24255,24565,3225,0.53,0,2.0,-2666.108262914545,-219364.26211463654
24255,24565,3235,0.53,0,2.0,-2666.108262914545,-222030.3703775511
24255,24565,3245,0.53,0,2.0,-2666.108262914545,-224696.47864046565
24255,24565,3255,0.54,0,2.0,-1254.388703762762,-225950.8673442284
24255,24565,3265,0.54,0,2.0,-1254.388703762762,-227205.25604799116
24255,24565,3275,0.55,0,3.0,140.47397802592545,-227064.78206996524
24255,24565,3285,0.53,0,3.0,-2380.4538061737007,-229445.23587613893
24255,24565,3295,0.55,0,3.0,140.47397802592545,-229304.761898113
24255,24575,3005,0.52,0,0.0,-5115.2272200000025,-5115.2272200000025
24255,24575,3015,0.52,0,0.0,-5115.2272200000025,-10230.454440000005
24255,24575,3025,0.52,0,0.0,-5115.2272200000025,-15345.681660000007
24255,24575,3035,0.53,0,0.0,-3344.3662050000057,-18690.047865000015
24255,24575,3045,0.53,0,0.0,-3344.3662050000057,-22034.41407000002
24255,24575,3055,0.54,0,1.0,-1404.9153482142933,-23439.329418214315
24255,24575,3065,0.55,0,1.0,176.21055803572094,-23263.118860178594
24255,24575,3075,0.55,0,1.0,176.21055803572094,-23086.908302142874
24255,24575,3085,0.54,0,1.0,-1404.9153482142933,-24491.823650357168
24255,24575,3095,0.55,0,1.0,176.21055803572094,-24315.613092321448
24255,24575,3105,0.58,0,1.0,4919.588276785712,-19396.024815535737
24255,24575,3115,0.6,0,1.0,8081.840089285724,-11314.184726250012
24255,24575,3125,0.58,0,1.0,4919.588276785712,-6394.5964494643
24255,24575,3135,0.56,0,2.0,1569.0504145408195,-4825.546034923481
24255,24575,3145,0.56,0,2.0,1569.0504145408195,-3256.4956203826614
24255,24575,3155,0.56,0,2.0,1569.0504145408195,-1687.445205841842
24255,24575,3165,0.54,0,2.0,-1254.388703762762,-2941.833909604604
24255,24575,3175,0.52,0,2.0,-4077.827822066328,-7019.661731670932
24255,24575,3185,0.52,0,2.0,-4077.827822066328,-11097.48955373726
24255,24575,3195,0.52,0,2.0,-4077.827822066328,-15175.317375803588
24255,24575,3205,0.52,0,2.0,-4077.827822066328,-19253.145197869915
24255,24575,3215,0.52,0,2.0,-4077.827822066328,-23330.973019936242
24255,24575,3225,0.52,0,2.0,-4077.827822066328,-27408.80084200257
24255,24575,3235,0.52,0,2.0,-4077.827822066328,-31486.628664068896
24255,24575,3245,0.54,0,2.0,-1254.388703762762,-32741.017367831657
24255,24575,3255,0.52,0,2.0,-4077.827822066328,-36818.845189897984
24255,24575,3265,0.52,0,2.0,-4077.827822066328,-40896.67301196431
24255,24575,3275,0.51,0,3.0,-4901.381590373313,-45798.05460233762
24255,24575,3285,0.52,0,3.0,-3640.9176982735066,-49438.97230061113
24255,24575,3295,0.53,0,3.0,-2380.4538061737007,-51819.426106784835
24255,24585,3005,0.47,0,0.0,-13969.532295000017,-13969.532295000017
24255,24585,3015,0.47,0,0.0,-13969.532295000017,-27939.064590000035
24255,24585,3025,0.47,0,0.0,-13969.532295000017,-41908.59688500005
24255,24585,3035,0.48,0,0.0,-12198.67128000001,-54107.26816500006
24255,24585,3045,0.48,0,0.0,-12198.67128000001,-66305.93944500007
24255,24585,3055,0.49,0,1.0,-9310.544879464296,-75616.48432446437
24255,24585,3065,0.5,0,1.0,-7729.418973214281,-83345.90329767865
24255,24585,3075,0.51,0,1.0,-6148.293066964285,-89494.19636464294
