x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24555,3085,0.46,0,0.0,-20357.08993800001,-20357.08993800001
24255,24555,3095,0.45,0,0.0,-22086.283635000014,-42443.37357300002
24255,24555,3105,0.45,0,0.0,-22086.283635000014,-64529.65720800003
24255,24555,3115,0.53,0,0.0,-8252.734058999997,-72782.39126700003
24255,24555,3125,0.52,0,1.0,-9074.479778181818,-81856.87104518185
24255,24555,3135,0.51,0,1.0,-10646.474048181824,-92503.34509336368
24255,24555,3145,0.5,0,1.0,-12218.468318181813,-104721.81341154549
24255,24555,3155,0.51,0,1.0,-10646.474048181824,-115368.28745972732
24255,24555,3165,0.51,0,1.0,-10646.474048181824,-126014.76150790915
24255,24555,3175,0.51,0,2.0,-9678.612771074384,-135693.37427898354
24255,24555,3185,0.5,0,2.0,-11107.698471074375,-146801.0727500579
24255,24555,3195,0.53,0,2.0,-6820.441371074377,-153621.5141211323
24255,24555,3205,0.53,0,2.0,-6820.441371074377,-160441.95549220667
24255,24555,3215,0.53,0,2.0,-6820.441371074377,-167262.39686328106
24255,24555,3225,0.53,0,2.0,-6820.441371074377,-174082.83823435544
24255,24555,3235,0.53,0,3.0,-6200.40124643125,-180283.2394807867
24255,24555,3245,0.53,0,3.0,-6200.40124643125,-186483.64072721795
24255,24555,3255,0.53,0,3.0,-6200.40124643125,-192684.0419736492
24255,24555,3265,0.54,0,3.0,-4901.232428249442,-197585.27440189864
24255,24555,3275,0.54,0,3.0,-4901.232428249442,-202486.50683014808
24255,24555,3285,0.53,0,3.0,-6200.40124643125,-208686.90807657933
24255,24555,3295,0.53,0,3.0,-6200.40124643125,-214887.3093230106
24255,24555,3305,0.52,0,4.0,-6817.790967830065,-221705.10029084067
24255,24555,3315,0.54,0,4.0,-4455.665843863129,-226160.7661347038
24255,24555,3325,0.57,0,4.0,-912.478157912731,-227073.24429261652
24255,24555,3335,0.61,0,4.0,3811.772090021155,-223261.47220259538
24255,24555,3345,0.56,0,4.0,-2093.54071989618,-225355.01292249156
24255,24555,3355,0.48,0,4.0,-11542.041215763957,-236897.0541382555
24255,24555,3365,0.46,0,4.0,-13904.166339730895,-250801.2204779864
24255,24555,3375,0.44,0,4.0,-16266.291463697831,-267067.51194168424
24255,24555,3385,0.38,0,5.0,-21229.697123271515,-288297.20906495576
24255,24555,3395,0.38,0,5.0,-21229.697123271515,-309526.9061882273
24255,24555,3405,0.35,0,5.0,-24450.77683777189,-333977.68302599917
24255,24555,3415,0.32,0,5.0,-27671.856552272264,-361649.53957827145
24255,24555,3425,0.31,0,5.0,-28745.549790439043,-390395.08936871047
24255,24555,3435,0.31,0,5.0,-28745.549790439043,-419140.6391591495
24255,24555,3445,0.31,0,5.0,-28745.549790439043,-447886.1889495885
24255,24555,3455,0.33,0,5.0,-26598.163314105466,-474484.352263694
24255,24555,3465,0.35,0,5.0,-24450.77683777189,-498935.12910146586
24255,24555,3475,0.35,0,5.0,-24450.77683777189,-523385.90593923774
24255,24565,3085,0.47,0,0.0,-18627.896241000013,-18627.896241000013
24255,24565,3095,0.46,0,0.0,-20357.08993800001,-38984.98617900002
24255,24565,3105,0.49,0,0.0,-15169.50884700001,-54154.49502600003
24255,24565,3115,0.53,0,0.0,-8252.734058999997,-62407.22908500003
24255,24565,3125,0.52,0,1.0,-9074.479778181818,-71481.70886318185
24255,24565,3135,0.51,0,1.0,-10646.474048181824,-82128.18291136368
24255,24565,3145,0.5,0,1.0,-12218.468318181813,-94346.65122954549
24255,24565,3155,0.51,0,1.0,-10646.474048181824,-104993.12527772732
24255,24565,3165,0.51,0,1.0,-10646.474048181824,-115639.59932590915
24255,24565,3175,0.51,0,2.0,-9678.612771074384,-125318.21209698354
24255,24565,3185,0.5,0,2.0,-11107.698471074375,-136425.9105680579
24255,24565,3195,0.52,0,2.0,-8249.527071074379,-144675.4376391323
24255,24565,3205,0.53,0,2.0,-6820.441371074377,-151495.87901020667
24255,24565,3215,0.53,0,2.0,-6820.441371074377,-158316.32038128105
24255,24565,3225,0.53,0,2.0,-6820.441371074377,-165136.76175235544
24255,24565,3235,0.53,0,3.0,-6200.40124643125,-171337.1629987867
24255,24565,3245,0.53,0,3.0,-6200.40124643125,-177537.56424521795
24255,24565,3255,0.54,0,3.0,-4901.232428249442,-182438.79667346738
24255,24565,3265,0.54,0,3.0,-4901.232428249442,-187340.02910171682
24255,24565,3275,0.55,0,3.0,-3602.0636100676056,-190942.0927117844
24255,24565,3285,0.53,0,3.0,-6200.40124643125,-197142.49395821567
24255,24565,3295,0.55,0,3.0,-3602.0636100676056,-200744.5575682833
24255,24565,3305,0.54,0,4.0,-4455.665843863129,-205200.2234121464
24255,24565,3315,0.55,0,4.0,-3274.6032818796416,-208474.82669402607
24255,24565,3325,0.59,0,4.0,1449.6469660542186,-207025.17972797184
24255,24565,3335,0.63,0,4.0,6173.897213988104,-200851.28251398375
24255,24565,3345,0.56,0,4.0,-2093.54071989618,-202944.82323387993
24255,24565,3355,0.46,0,4.0,-13904.166339730895,-216848.98957361083
24255,24565,3365,0.44,0,4.0,-16266.291463697831,-233115.28103730865
24255,24565,3375,0.42,0,4.0,-18628.41658766478,-251743.69762497343
